Fecha,PREC_21205770_BASE_AEREA_MADRID_MADRID,TMin_21205880_FLORES_CHIBCHA_MADRID,TMin_21206060_CASABLANCA_MADRID,PREC_21205420_TIBAITATA_MOSQUERA,TMax_21205420_TIBAITATA_MOSQUERA,TMin_21205420_TIBAITATA_MOSQUERA,PREC_21205960_TACHI_SUBACHOQUE,TMin_21205960_TACHI_SUBACHOQUE,PREC_21201210_EL_HATO_TENJO,TMax_21205980_GRANJA_PROVIDENCIA_TENJO,TMin_21205980_GRANJA_PROVIDENCIA_TENJO,PREC_21206280_ACAPULCO_BOJACA,TMin_21205870_EL_SALITRE_BOJACA,PREC_21201070_EL_CORAZON_FACATATIVA,TMin_21205940_VILLA_INES_FACATATIVA
1996-03-15,2.1,9.2,5.0,0.15,18.7,10.2,0.0,8.460502243449056,2.0,18.0,9.8,0.0,7.0,6.5,9.0
1996-03-16,0.0,10.2,5.0,0.0,18.4,10.1,0.0,8.2,0.0,18.4,10.9,0.0,9.2,0.0,10.2
1996-03-17,0.0,8.4,4.3,0.0,18.8,6.9,0.8833333333333333,6.0,0.0,19.0,7.589461713109025,0.0,6.4,0.0,10.2
1996-03-18,0.0,3.2,4.0,0.0,18.7,5.3,1.7666666666666666,2.0,0.0,19.4,4.0,0.0,5.0,0.0,7.2
1996-03-19,0.0,5.2,6.0,0.0,20.5,5.1,2.65,5.8,0.0,21.2,6.6,0.0,3.8,0.0,4.6
1996-03-20,0.0,1.2,7.0,0.0,19.8,1.8,3.533333333333333,2.2,0.0,21.0,1.2,0.0,2.0,0.0,3.0
1996-03-21,0.6,4.4,5.0,0.0,15.7,4.7,4.416666666666666,5.519307209275089,4.5,16.2,5.5,0.0,5.37097917348426,0.0,5.0
1996-03-22,1.0,3.8,4.0,0.0,18.5,6.1,5.3,2.8,0.0,18.4,4.6,0.0,5.2,3.0,3.2
1996-03-23,0.3,6.2,3.0,0.0,19.5,6.8,2.65,6.0,0.2,20.3,6.6,0.0,5.6,0.0,5.2
1996-03-24,0.0,5.2,5.0,0.0,21.3,7.4,0.0,5.9,0.0,22.0,8.012825152809757,0.0,6.2,5.7,6.2
1996-03-25,0.0,4.8,6.0,0.0,20.1,6.2,0.0,5.8,0.0,21.4,7.5,0.0,5.2,4.8,5.6
1996-03-26,0.0,3.6,7.0,0.0,20.6,5.6,0.0,4.8,0.0,20.54946649225991,6.8,0.0,5.0,0.0,4.0
1996-03-27,0.0,6.8,7.0,0.0,19.8,8.4,0.0,8.2,0.0,19.2,6.4,0.0,4.6,2.1,5.0
1996-03-28,0.0,2.2,9.0,0.0,18.7,4.7,0.0,4.0,0.0,19.4,5.5,0.0,3.4,2.6,3.0
1996-03-29,0.0,3.4,4.0,0.2,20.8,4.4,0.0,5.998106400884804,0.0,21.0,6.2,0.0,3.4,0.0,2.4
1996-03-30,0.0,4.8,2.0,0.0,20.2,4.6,0.0,2.8,0.0,20.1,4.7,0.0,5.0,0.0,6.4
1996-03-31,3.2,10.6,5.0,0.3,20.7,9.8,0.0,7.2,0.0,20.8,10.044969663373264,0.0,10.2,0.0,8.4
1996-04-01,0.0,5.4,4.0,0.0,22.3,5.9,0.0,5.6,0.0,21.4,7.3,0.0,6.0,5.0,6.0
1996-04-02,0.0,6.6,5.0,0.0,21.0,6.9,0.0,9.2,0.2,20.1,8.8,0.0,5.4,0.0,4.8
1996-04-03,1.4,5.6,5.0,0.0,19.2,6.2,0.0,6.2,0.0,19.8,7.3,0.0,5.0,0.0,4.6
1996-04-04,0.0,5.8,3.8,0.0,21.1,4.8,0.0,5.8,0.0,21.6,5.811335266365956,4.5,6.8,0.0,6.8
